,datetime,ghi,SZA,TOA,cams,lsasaf,era,merra
20225,2021-04-22 17:00:00,312.1,27.972228844363386,1188.1321007868207,496.575,567.5250100000001,507.28888,545.25
20226,2021-04-22 18:00:00,476.5833333333333,42.53233140967457,991.3434382070559,506.5949,551.425,491.89334,402.375
20227,2021-04-22 19:00:00,320.3333333333333,57.19216502449841,728.91266943948,369.5999,321.625,245.77777,279.625
20228,2021-04-22 20:00:00,121.71666666666668,71.86539793637056,418.7240176882525,153.5667,36.675,86.95111,137.125
20242,2021-04-23 10:00:00,22.7,76.39782675988992,316.21561288762695,16.1235,37.75,95.075554,50.390625
20243,2021-04-23 11:00:00,86.88333333333334,61.747304960581154,636.4691735893576,100.53320000000001,221.4250075,290.72,142.5
20244,2021-04-23 12:00:00,269.6551724137931,47.09783603522266,915.3169883644756,357.384,564.200015,445.6,252.875
20245,2021-04-23 13:00:00,475.53333333333336,32.5195386015142,1133.7560394538589,482.5308,696.175,603.5733,369.875
20246,2021-04-23 14:00:00,475.15,18.25557474944696,1276.9000665133663,523.2686,833.27501,631.6445,425.125
20247,2021-04-23 15:00:00,481.8833333333333,6.843718877224805,1334.9940406555813,461.6917,783.35002,633.12,483.0
20248,2021-04-23 16:00:00,410.45,14.097557358341843,1304.078953547544,874.5708,1004.375,445.1911,477.75
20249,2021-04-23 17:00:00,454.6,28.084027815496487,1186.2616172860698,534.8183,514.100015,459.21777,453.125
20250,2021-04-23 18:00:00,307.68333333333334,42.610458280853024,989.5710886350244,611.1543,669.25001,260.55112,385.75
20251,2021-04-23 19:00:00,192.76666666666668,57.24842280647036,727.4115020755092,406.8275,430.400015,205.56444,283.625
20252,2021-04-23 20:00:00,114.15,71.90353910532968,417.64860019235437,118.3514,43.975,86.4,119.71875
20266,2021-04-24 10:00:00,9.833333333333334,76.33100095357585,317.57016748676284,57.9688,96.77500125,90.791115,67.71875
20267,2021-04-24 11:00:00,44.68333333333333,61.69844153205142,637.1390336426031,39.3172,154.1750025,222.08,141.875
20268,2021-04-24 12:00:00,105.35,47.06993196004921,915.3081265093174,134.8981,273.75,337.6889,238.75
20269,2021-04-24 13:00:00,163.38333333333333,32.52197190359394,1133.120682104201,254.8268,411.725005,443.87555,340.25
20270,2021-04-24 14:00:00,202.4833333333333,18.321593965750168,1275.7331347157292,159.9506,435.8,629.86664,390.0
20271,2021-04-24 15:00:00,119.03333333333332,7.143238640298043,1333.426681376648,135.5149,353.000005,716.60443,401.0
20272,2021-04-24 16:00:00,314.75,14.291221292470555,1302.2696022251096,505.97159999999997,634.42502,621.76,424.75
20273,2021-04-24 17:00:00,781.4,28.196461374577748,1184.3852007157832,543.7675,658.40002,453.49335,419.125
20274,2021-04-24 18:00:00,354.1333333333333,42.688252238591765,987.8071039983453,267.92650000000003,234.075005,381.1911,327.375
20275,2021-04-24 19:00:00,166.35,57.30375196379649,725.931784503424,146.4782,79.475,210.77333,206.8125
20276,2021-04-24 20:00:00,96.9,71.94032631258739,416.60561248517126,105.7602,33.4250005,102.062225,86.21875
20290,2021-04-25 10:00:00,115.03333333333332,76.2669825057682,318.8599416573609,87.6165,128.125,42.18667,110.90625
20291,2021-04-25 11:00:00,261.43333333333334,61.65277786163797,637.7437515367102,220.1494,302.600005,124.69334,290.625
20292,2021-04-25 12:00:00,316.68333333333334,47.0457845710236,915.2375448567705,305.8435,483.950005,247.96445,491.875
20293,2021-04-25 13:00:00,532.35,32.5290907618428,1132.430578182956,500.96299999999997,763.42503,459.39557,654.75
20294,2021-04-25 14:00:00,463.0833333333333,18.394149666595812,1274.5215052225449,445.22659999999996,712.675,504.37332,748.75
20295,2021-04-25 15:00:00,433.53333333333336,7.44334708460204,1331.8270641141494,476.057,716.4,532.85333,803.5
20296,2021-04-25 16:00:00,426.26666666666665,14.486507359627248,1300.4419757212197,572.9573,678.775,550.36444,763.25
20297,2021-04-25 17:00:00,439.1333333333333,28.309339610818068,1182.505081951423,520.96,638.950015,509.40445,713.25
20298,2021-04-25 18:00:00,518.25,42.765591389417956,986.0535872152395,527.5849000000001,704.225,474.3289,541.0
20299,2021-04-25 19:00:00,331.75,57.35806587649553,724.4753362274947,294.2759,235.82500125,318.77335,379.875
20300,2021-04-25 20:00:00,126.26666666666668,71.97569801836913,415.5964545145046,155.1604,123.1000025,132.0,178.25
